,0,1,cluster
458,30.748934,-30.915213,6
459,-34.301804,-6.960877,39
460,-12.871348,0.8233818,8
461,-18.69349,-20.669758,60
462,4.7495995,5.6353703,4
463,-53.144714,-23.558727,2
464,0.45250446,16.641197,4
465,-49.935368,35.76932,3
466,31.18225,-35.653034,6
467,6.7186136,15.037431,4
468,-16.437855,-36.75629,17
469,-23.584444,-17.315739,8
470,0.115288615,38.157986,10
471,-5.453441,-20.062729,1
472,49.60963,58.45847,11
473,62.28748,-27.49302,5
474,-25.560835,-8.0859165,41
475,-3.863046,-56.33532,1
476,-7.1514716,-47.967163,1
477,52.064186,-26.488316,42
478,-39.8944,-29.430271,2
479,-16.318644,-32.233334,17
480,-0.4473344,19.305851,4
481,34.904133,13.794825,55
482,21.340927,5.3748794,63
483,-15.543261,6.576326,8
484,-29.214588,-53.612915,51
485,1.0586913,35.64654,10
486,-49.5226,-5.435704,13
487,-4.507442,-34.64732,1
488,-2.7060301,13.599884,4
489,-13.360432,-5.1769657,8
490,-10.719836,33.277344,10
491,-45.827152,28.600288,3
492,-39.837334,-18.91571,2
493,47.553165,3.6294785,9
494,14.998192,-18.561583,6
495,-50.36424,-37.667057,2
496,24.02226,11.933223,12
497,-10.8153515,-11.566463,1
498,-29.539103,12.718391,7
499,-30.291626,-47.981277,51
500,44.281258,21.693933,54
501,-21.099459,-15.503328,8
502,-54.931805,24.221586,3
503,-43.09301,24.414433,3
504,71.627365,-0.73369706,14
505,-43.172745,-45.711796,2
506,1.9756222,-21.287455,24
507,-34.107357,46.273796,23
508,-35.455936,25.358635,3
509,40.788795,-19.936535,5
510,36.72676,-14.414888,22
511,44.780552,47.88641,11
512,61.891705,44.71595,16
513,5.9550633,-13.485027,59
514,-52.465992,30.016262,3
515,58.10577,13.096239,9
516,59.272686,-12.022214,5
517,69.073166,-6.109799,14
518,39.48263,49.754772,11
519,51.113384,-17.77667,5
520,26.365797,30.029501,20
521,-21.60181,10.1033535,45
522,33.45282,-32.584396,6
523,65.1676,4.6634507,62
524,-42.218624,8.815585,7
525,-28.63404,-16.471504,8
526,-1.0788655,44.909267,69
527,-22.393843,-25.48629,17
528,-45.50162,-18.276142,2
529,-61.57876,19.189594,3
530,11.51315,-17.473017,43
531,-30.447155,23.772383,3
532,32.878357,27.124523,56
533,20.733429,43.26646,25
534,0.8871022,29.958263,61
535,35.67776,-18.602081,22
536,56.441254,-4.848406,9
537,-15.877956,3.79129,8
538,13.237411,50.94439,19
539,8.68774,30.812489,32
540,-26.381681,21.005848,3
541,48.593105,6.303928,9
542,17.224943,-3.571727,18
543,-42.95832,-38.901604,46
544,29.090063,-22.365223,44
545,-35.354893,31.203522,66
546,37.020878,41.72047,11
547,-2.2998323,38.43893,10
548,20.42315,-9.192919,18
549,25.7375,-60.564186,1
550,2.0819883,-51.5213,33
551,33.42129,-37.66869,6
552,5.7273703,34.282974,40
553,26.83341,-43.19042,6
554,8.96916,-22.893557,24
555,-37.82142,51.303936,23
556,-38.911205,25.764599,3
557,-60.564655,-13.684396,30
558,-1.2208141,-46.390972,1
559,-37.555004,-43.245384,2
560,42.350895,-24.07146,5
561,-35.78348,-35.97031,2
562,-49.105892,28.710188,3
563,45.91834,38.57648,11
564,-10.530194,-25.763453,1
565,16.502195,11.441032,12
566,46.297707,-8.98467,5
567,64.20536,-0.64403015,14
568,-21.285933,2.8045988,7
569,13.685014,5.6023498,12
570,-19.007654,-9.430654,8
571,-0.9906838,11.128903,4
572,-26.623047,37.289345,31
573,-49.875137,23.076307,3
574,13.498908,-26.633959,6
575,4.2060633,-48.102844,1
576,-49.348595,-21.638506,2
577,19.631119,-63.298397,1
578,-45.64629,4.2217503,7
579,37.58577,17.302187,9
580,58.426186,1.6725571,9
581,29.087612,-15.538488,22
582,-42.666206,35.534252,3
583,-16.67991,-3.8617504,8
584,-29.297544,-9.885513,41
585,-23.403936,0.3475368,8
586,-34.63102,-10.345369,39
587,-40.53383,-33.979996,2
588,4.2944765,-54.8202,1
589,6.9857717,-43.351875,1
590,-6.1496563,-22.59911,1
591,48.571186,35.11769,16
592,47.22194,13.278487,54
593,-57.919647,-4.4522185,13
594,-19.790916,-3.4268458,8
595,41.148186,18.2871,9
596,-41.72994,-8.979757,2
597,-10.499671,-28.522472,1
598,58.030582,-1.9651853,9
599,-30.363567,-1.7328196,7
600,67.16907,-2.262434,14
601,-29.926374,-40.4344,2
602,1.2931185,21.620756,4
603,53.755314,-22.366049,5
604,-5.18303,-15.912445,1
605,-56.857666,-19.409698,67
606,-21.700302,-31.655231,17
607,-1.0952438,-57.88085,1
608,61.270267,2.168525,62
609,-1.1134688,-52.893932,33
610,-41.256344,19.657475,3
611,-34.856647,15.054113,7
612,-31.266092,44.273666,49
613,-37.218845,1.2959517,7
614,-7.333918,26.894836,4
615,-14.235714,56.380817,29
616,54.211197,15.466051,9
617,-8.195714,6.68069,4
618,9.349339,13.2896385,4
619,-5.575824,5.707468,4
620,-19.239567,55.224625,53
621,-60.84903,1.6575886,13
622,52.679596,-11.203508,5
623,9.531817,-20.046442,24
624,-26.945444,-52.09054,51
625,40.85961,43.30978,11
626,61.991753,-10.932721,5
627,-56.884342,33.61606,3
628,48.567005,-0.73004687,47
629,-54.2197,-33.179718,2
630,-10.780657,-7.347802,8
631,44.17003,-27.205421,5
632,-39.64304,11.295215,7
633,41.996967,-16.02043,5
634,12.679443,45.86032,19
635,34.916203,8.254194,55
636,43.505398,-3.8873382,5
637,49.41236,-24.40594,42
638,-41.71775,-24.28243,2
639,25.284435,3.9859643,12
640,-1.0709538,32.320763,10
641,56.5173,26.79634,16
642,-56.77855,29.075321,3
643,63.56605,-7.999345,70
644,16.104424,49.17899,19
645,-12.807349,-44.590847,1
646,-53.055527,46.777416,15
647,36.164604,22.558111,9
648,-48.042988,-23.530455,2
649,-44.02469,-3.663798,35
650,-19.62549,50.583862,53
651,68.31113,3.6041112,14
652,-43.082962,12.200491,50
653,-13.134236,-31.902271,17
654,1.9936037,-38.741238,38
655,38.17918,-9.436914,5
656,62.43767,-16.796822,5
657,36.748947,5.4549966,55
658,57.186897,21.751085,16
659,11.327735,66.65285,27
660,-42.74045,43.858715,15
661,48.961124,10.447625,9
662,-43.95495,0.1756328,35
663,11.2627945,-7.723287,59
664,-27.570745,18.800333,3
665,10.046578,16.771822,58
666,-52.946407,-4.202064,13
667,2.834265,24.206133,4
668,-23.034132,4.5923405,7
669,3.053909,3.07659,4
670,-19.83925,-13.620797,8
671,-25.525654,-24.363026,17
672,23.16207,-16.9685,6
673,-25.333378,-4.061337,41
674,-17.216322,-24.122564,48
675,-4.1447206,21.754591,4
676,24.278173,-4.1063857,18
677,-21.998386,-52.40397,26
678,-2.5259883,-24.236898,1
679,-31.97704,-45.389065,2
680,-36.3825,48.39258,23
681,-38.082596,7.504007,7
682,28.6155,24.619816,20
683,-46.643555,22.59612,3
684,-30.281523,5.536189,7
685,3.2469492,39.851665,40
686,29.79638,64.00343,27
687,-11.636243,-17.779331,60
688,31.865932,-12.297392,22
689,6.37722,8.880199,4
690,3.1833463,57.80275,10
691,-48.460278,-42.116234,2
692,-44.272053,-33.455624,46
693,36.2405,45.863407,11
694,22.735931,-26.035896,6
695,71.01697,-9.091455,14
696,-8.544376,-38.82434,1
697,-46.0626,44.938335,15
698,-26.712156,-49.01372,26
699,36.03135,-1.2732065,5
700,-5.522868,-54.36811,1
701,-31.105234,47.488636,23
702,39.147556,-33.82994,6
703,-6.8766193,12.430202,4
704,-23.849098,-48.63736,26
705,-38.17818,-49.041573,2
706,-62.239117,28.563044,3
707,46.84472,-23.507158,5
708,-37.102375,43.021286,49
709,-16.663944,-13.516163,8
710,-14.837154,52.72592,29
711,14.949902,-28.601389,6
712,-51.869537,-29.057861,2
713,15.964647,-0.48818213,65
714,33.90309,-5.8128276,5
715,5.503195,26.537163,4
716,6.945957,-61.773098,1
717,48.957104,-15.1097765,5
718,20.431257,-52.239975,1
719,27.128153,36.73215,25
720,-48.159386,5.84211,7
721,26.629333,14.488439,12
722,-33.983604,-33.897068,2
723,-57.432777,23.968702,3
724,-16.566738,1.7780855,8
725,-10.697341,-21.881838,1
726,-55.929073,8.3180275,13
727,-5.4561934,-57.9464,1
728,55.15912,-18.179947,5
729,19.284904,3.4644065,63
730,-2.1882377,-43.20263,1
731,25.345081,-38.894093,6
732,-49.671852,25.900106,3
733,-38.924053,-12.067977,2
734,16.008821,-25.67135,6
735,-2.1820555,-6.6461425,4
736,51.029438,-33.726776,21
737,-49.896828,17.672976,3
738,-26.936205,51.284733,28
739,-15.332659,49.770298,29
740,-0.72545314,-37.73518,38
741,-15.239105,-16.851664,8
742,-11.741894,57.353306,29
743,44.91459,33.952415,11
744,-16.37875,-21.608013,60
745,30.315104,-38.433098,6
746,-25.534464,6.2707343,7
747,35.131073,-25.070381,44
748,-40.11142,48.19333,15
